"date"	"Qmm"	"P"	"T"	"E"
1989-08-13	1.183	0	3.1133948	1.44
1989-08-14	1.165	0	6.130276	1.5
1989-08-15	1.195	8.96	2.939042805	1.18
1989-08-16	1.177	6.52	-1.15985476	0.64
1989-08-17	1.153	44.51	1.805966745	0.9
1989-08-18	6.067	88.49	0.560908755	0.62
1989-08-19	6.547	24.09	-1.66368097	0.67
1989-08-20	2.937	3.37	-3.88132785	0.69
1989-08-21	1.97	0.58	-5.97684435	0.57
1989-08-22	2.078	90.14	-3.70356945	0.72
1989-08-23	11.533	119.35	-0.92921297	0.62
1989-08-24	12.074	6.34	-1.1166231	0.89
1989-08-25	5.13	32.89	0.35303125	0.94
1989-08-26	4.925	0.42	-1.19408135	0.94
1989-08-27	3.778	0	2.5576533	1.63
1989-08-28	3.291	0	5.68143628	1.78
1989-08-29	2.997	32.99	0.7164538	1.09
1989-08-30	2.757	1.44	-3.394395577	0.9
1989-08-31	2.348	0	-0.12987255	1.55
1989-09-01	2.174	0	5.296917975	1.79
1989-09-02	2.324	0	5.4491094	1.66
1989-09-03	2.42	34.47	1.544813075	0.99
1989-09-04	3.075	22.28	-0.938129265	0.74
1989-09-05	2.571	0.07	-2.529464326	0.89
1989-09-06	2.336	0	-1.5408577	1.24
1989-09-07	2.186	0	-1.0783261	1.19
1989-09-08	2.072	0	-3.275453925	1.09
1989-09-09	1.952	0.02	-3.676295928	1.02
1989-09-10	1.802	3.3	-4.4441933	0.75
1989-09-11	1.694	0	-3.75171569	0.99
1989-09-12	1.651	0	-1.56166715	1.23
1989-09-13	1.639	0	2.3033859	1.83
1989-09-14	1.778	0	6.20126165	2.12
1989-09-15	2.126	0	7.69222605	2.46
1989-09-16	2.474	0	8.5158504	2.52
1989-09-17	2.763	0	7.62559655	2.21
1989-09-18	2.853	0	5.94900425	2.07
1989-09-19	2.841	0	5.83151038	2.19
1989-09-20	2.937	2.83	3.21824008	1.43
1989-09-21	2.691	8.38	0.098125	1.02
1989-09-22	2.33	0	-0.5459386	1.35
1989-09-23	2.174	0	-0.6059728	1.43
1989-09-24	2.132	0	2.0513342	1.78
1989-09-25	2.24	0	4.29769654	2.1
1989-09-26	2.48	0	3.17182175	2.19
1989-09-27	2.559	0	2.968642825	1.75
1989-09-28	2.589	0	2.3572489	2.02
1989-09-29	2.631	0	6.81248125	2.6
1989-09-30	2.757	0	6.13634805	2.34
1989-10-01	2.775	0	3.000400725	1.42
1989-10-02	2.745	0	2.4841961	1.78
1989-10-03	2.691	0	6.56745945	2.63
1989-10-04	2.847	0	4.5495097	1.96
1989-10-05	2.925	0	5.557816685	2.34
1989-10-06	2.973	0	3.20092422	1.85
1989-10-07	2.703	0	4.62684901	2.46
1989-10-08	2.589	0	5.4898183	2.2
1989-10-09	2.871	0	5.11828218	2.31
1989-10-10	2.913	0	4.016431485	2.21
1989-10-11	2.937	0	6.251142	2.78
1989-10-12	2.997	0	8.2754839	3.17
1989-10-13	3.231	0	7.5182787	2.79
1989-10-14	3.37	0	5.32673995	2.21
1989-10-15	3.261	0	5.18177582645	2.57
1989-10-16	3.153	0	8.1391674	3.28
1989-10-17	3.321	0	9.31047665	3.44
1989-10-18	3.526	0	10.6045749	3.56
1989-10-19	3.808	0	7.48304965	2.56
1989-10-20	3.748	0	5.4960301	2.93
1989-10-21	3.448	0	9.65803325	3.52
1989-10-22	3.676	0	9.64383365	3.06
1989-10-23	3.682	0	6.08368375	2.05
1989-10-24	3.243	19.65	5.29611125	2.46
1989-10-25	3.111	13.53	-0.98360185	1.48
1989-10-26	2.703	0	2.05259975	2.71
1989-10-27	2.793	0	9.3944624	3.6
1989-10-28	3.231	2.89	6.6263377	2.15
1989-10-29	3.213	0	4.68588635	2.19
1989-10-30	3.297	0	4.356359895	2.27
1989-10-31	3.568	0	6.4061764	2.71
1989-11-01	3.634	0.24	4.4403033	1.98
1989-11-02	3.448	0	2.8463874	2.25
1989-11-03	3.303	0	7.3398161	3.14
1989-11-04	3.808	0	10.6346774	3.65
1989-11-05	4.841	2.38	9.74479185	2.69
1989-11-06	5.13	0	8.26233115	2.42
1989-11-07	4.985	6.7	6.11262335	2.31
1989-11-08	4.301	0	6.12562385	2.76
1989-11-09	4.565	0	8.35759755	3.29
1989-11-10	4.691	2.48	5.54228865	1.87
1989-11-11	3.73	0	5.182382055	2.96
1989-11-12	3.934	0	9.6292743	3.77
1989-11-13	4.775	0	11.68376895	3.55
1989-11-14	5.622	0	9.92605415	3.06
1989-11-15	5.67	0	9.4582956	3.41
1989-11-16	5.55	0	11.58887905	3.93
1989-11-17	5.838	0	12.0561726	3.71
1989-11-18	6.187	0	10.66368555	3.54
1989-11-19	6.367	0	11.4228472	3.86
1989-11-20	6.307	0	11.00868095	3.69
1989-11-21	6.367	0	10.49027955	3.67
1989-11-22	6.367	0	9.06407245	2.94
1989-11-23	5.977	0	9.9098136	3.54
1989-11-24	6.307	0	14.6382034	4.46
1989-11-25	7.148	0	12.83071095	3.75
1989-11-26	7.268	0	11.60906575	3.78
1989-11-27	7.388	0	12.22034405	3.84
1989-11-28	7.448	0	12.0336187	3.82
1989-11-29	7.088	0	11.6880457	3.39
1989-11-30	6.667	0	9.3559551	3.12
1989-12-01	5.532	0	9.60330735	3.41
1989-12-02	5.07	2.71	8.0022064	2.47
1989-12-03	4.391	0	8.6143477	3.71
1989-12-04	4.463	0.02	6.54684075	2.42
1989-12-05	3.712	0	6.70689285	2.87
1989-12-06	3.856	0	8.3331519	3.08
1989-12-07	3.79	0	9.7491075	3.68
1989-12-08	4.361	0	10.7292052	3.67
1989-12-09	4.697	0	11.154568	3.73
1989-12-10	4.835	0	9.8859107	3.34
1989-12-11	4.883	0	9.889582	3.51
1989-12-12	4.889	0	10.8492817	3.88
1989-12-13	4.985	0	12.5993228	4.31
1989-12-14	5.322	0	12.76117715	3.86
1989-12-15	5.46	0	10.122499	3.24
1989-12-16	5.112	6.58	6.87105565	1.98
1989-12-17	4.012	0	8.58996315	3.76
1989-12-18	3.91	0	11.8714504	4.01
1989-12-19	4.565	0	14.8796161	4.61
1989-12-20	5.52	0	13.4721005	3.15
1989-12-21	6.127	0	11.79498645	3.17
1989-12-22	5.881	0	11.24105195	4.07
1989-12-23	5.598	0	12.2275903	4.01
1989-12-24	5.616	0	12.69744025	4.22
1989-12-25	5.616	0	12.8933139	4.1
1989-12-26	5.64	0	12.8141678	4.2
1989-12-27	5.844	0	13.10653455	4.18
1989-12-28	5.736	0	13.41426045	4.26
1989-12-29	5.616	0	14.3694405	4
1989-12-30	5.688	0	13.4720563	4.59
1989-12-31	5.586	0	13.1283049	3.97
1990-01-01	5.424	0	12.4227137	4.29
1990-01-02	5.4	0	12.6837166	4.19
1990-01-03	5.298	0	12.1888864	4.41
1990-01-04	5.208	0	14.0183732	4.45
1990-01-05	5.256	0	14.02039195	4.41
1990-01-06	5.142	0	13.39593175	4.38
1990-01-07	5.106	0	13.5272347	4.48
1990-01-08	5.274	0	14.121176	4.29
1990-01-09	5.4	0	14.07148175	4.31
1990-01-10	5.28	0	13.7295086	4.45
1990-01-11	5.07	0	12.90559475	4.21
1990-01-12	4.805	0.73	10.73743225	3.01
1990-01-13	4.589	0.01	11.3368375	4
1990-01-14	NA	0	12.6276357	4.22
1990-01-15	NA	0	12.5383217	3.77
1990-01-16	NA	12.16	8.52920875	2.59
1990-01-17	NA	0.05	7.5075883	3.44
1990-01-18	NA	0	11.6512577	4.06
1990-01-19	NA	0	11.57859985	3.77
1990-01-20	NA	0	12.96674665	4.35
1990-01-21	NA	0	12.0883045	3.84
1990-01-22	NA	0	13.08369595	4
1990-01-23	NA	0	11.33534365	3.42
1990-01-24	NA	0	11.6471681	4.09
1990-01-25	NA	0	14.66308875	4.6
1990-01-26	NA	0	12.44864865	3.38
1990-01-27	NA	0	13.3134494	3.9
1990-01-28	NA	0	13.4286861	3.82
1990-01-29	NA	0	12.5817938	3.52
1990-01-30	NA	0	13.1057842	3.9
1990-01-31	NA	0	14.7311967	4.24
1990-02-01	NA	0	14.432624	3.87
1990-02-02	NA	0	13.43068995	3.53
1990-02-03	NA	0	13.94839785	4.06
1990-02-04	NA	0	15.06080315	4.36
1990-02-05	NA	0	16.179094	4.14
1990-02-06	NA	0	16.5196765	3.68
1990-02-07	NA	0	14.4446	2.75
1990-02-08	NA	0	13.31285645	3.48
1990-02-09	NA	0	12.7604623	3.32
1990-02-10	NA	0	12.6001464	3.42
1990-02-11	NA	0	12.89088755	3.47
1990-02-12	NA	0	13.3456425	3.38
1990-02-13	NA	0	12.7822744	3.33
1990-02-14	NA	0	11.70072245	3.07
1990-02-15	NA	0	11.93903225	3.57
1990-02-16	NA	0	11.3448004	2.96
1990-02-17	NA	0	11.0666524	3.14
1990-02-18	NA	0	11.8955684	2.32
1990-02-19	NA	0	11.5241195	2.43
1990-02-20	NA	0	11.7630524	3.02
1990-02-21	NA	0	11.5810912	3.02
1990-02-22	NA	3	11.2116461	2.5
1990-02-23	NA	1.19	11.368326	2.52
1990-02-24	NA	0	10.8518039	2.86
1990-02-25	NA	0	11.034811	3.15
