"date"	"Qmm"	"P"	"T"	"E"
1989-04-01	1.691	0	8.8784028	1.95
1989-04-02	1.675	0	4.59123145	1.03
1989-04-03	1.234	0	4.78910175	1.62
1989-04-04	1.212	0	4.70914635	1.36
1989-04-05	1.113	0	6.7699348	1.75
1989-04-06	1.163	0	7.19429675	1.67
1989-04-07	1.14	0	8.6172328	1.93
1989-04-08	1.172	0	7.3329853	1.47
1989-04-09	1.119	0	3.4237349	0.78
1989-04-10	0.858	0	6.4413075	1.91
1989-04-11	0.851	0	6.34397775	1.52
1989-04-12	0.832	0	5.48725715	1.48
1989-04-13	0.824	0	7.2812023	1.73
1989-04-14	0.84	0	7.12124765	1.68
1989-04-15	0.856	0	4.52301135	1.03
1989-04-16	0.839	0	4.91712625	1.41
1989-04-17	0.775	0	8.06991175	1.71
1989-04-18	0.871	0	9.6928114	1.8
1989-04-19	0.985	0	11.6896716	1.94
1989-04-20	1.088	0	9.52445365	1.51
1989-04-21	1.099	0	9.1684649	1.47
1989-04-22	1.124	0	7.53474975	1.41
1989-04-23	1.048	0	5.77347105	1.26
1989-04-24	0.931	0	3.99021645	1.05
1989-04-25	0.867	0	5.9241644	1.49
1989-04-26	0.831	0	8.8406003	1.62
1989-04-27	0.851	0	5.5405099	1.08
1989-04-28	0.794	0.32	1.2199626505	0.54
1989-04-29	0.733	14.65	-2.7551357	0.34
1989-04-30	0.686	0	-4.0813499	0.7
1989-05-01	0.617	0	-5.1069452	0.67
1989-05-02	0.626	5.94	-3.513454455	0.65
1989-05-03	0.652	28.73	-4.51559055	0.27
1989-05-04	0.665	0.54	-4.5371707	0.35
1989-05-05	0.577	0	-3.15952576	0.78
1989-05-06	0.614	0	-0.26024855	0.81
1989-05-07	0.619	0	0.98968875	0.91
1989-05-08	0.609	0	0.06483565	0.8
1989-05-09	0.583	0	1.31574385	0.87
1989-05-10	0.559	0	2.668489295	0.84
1989-05-11	0.555	0	2.341128025	0.86
1989-05-12	0.556	0	2.248855625	0.75
1989-05-13	0.559	0	1.0123917	0.74
1989-05-14	0.579	4.51	-3.8235984	0.4
1989-05-15	0.544	0	-1.51920765	0.92
1989-05-16	0.561	0	2.7993186685	0.86
1989-05-17	0.545	0	1.97066469	0.8
1989-05-18	0.528	0	3.2919149955	0.97
1989-05-19	0.516	0	3.42265422	1.01
1989-05-20	0.499	0	4.420076555	1.03
1989-05-21	0.489	0	4.9993581	1.04
1989-05-22	0.486	0	2.511335005	0.92
1989-05-23	0.481	0	3.137299825	0.96
1989-05-24	0.467	0	3.09026911	0.95
1989-05-25	0.473	0	3.71930818	0.94
1989-05-26	0.465	0	2.58820189	0.83
1989-05-27	0.464	0	1.4870374	0.82
1989-05-28	0.473	0	-0.16502645	0.66
1989-05-29	0.459	0	-0.6921015	0.86
1989-05-30	0.459	0	0.90572735	0.68
1989-05-31	0.454	0	1.07810125	0.73
1989-06-01	0.465	0	-1.936632015	0.54
1989-06-02	0.461	0	-1.565833	0.69
1989-06-03	0.461	0	1.60145595	0.74
1989-06-04	0.464	0	2.661300135	0.78
1989-06-05	0.464	0	2.04162455	0.76
1989-06-06	0.462	0	0.67598605	0.69
1989-06-07	0.464	6.46	-1.513850235	0.45
1989-06-08	0.472	0	-1.36729554	0.54
1989-06-09	0.465	0	0.54819275	0.69
1989-06-10	0.461	0	-0.66422695	0.65
1989-06-11	0.473	0	1.12363965	0.78
1989-06-12	0.445	0	1.23603645	0.75
1989-06-13	0.451	0	0.2252728	0.63
1989-06-14	0.44	0	-0.82808155	0.59
1989-06-15	0.441	0	-0.6092782	0.66
1989-06-16	0.454	0	-1.99274885	0.63
1989-06-17	0.448	0	2.1306838	0.88
1989-06-18	0.437	0	1.3308663	0.76
1989-06-19	0.435	0	-0.393529	0.69
1989-06-20	0.443	0	-1.64381955	0.61
1989-06-21	0.449	0	-3.473471255	0.52
1989-06-22	0.438	0	-0.17632135	0.7
1989-06-23	0.441	0	-1.81158125	0.6
1989-06-24	0.437	0	-1.66790465	0.63
1989-06-25	0.448	1.89	-2.96508176	0.51
1989-06-26	0.456	4.54	-5.89042775	0.35
1989-06-27	0.441	0	-7.49117425	0.36
1989-06-28	0.448	0	-1.84037755	0.63
1989-06-29	0.432	8.92	-2.895316485	0.53
1989-06-30	0.44	0.01	-6.95016975	0.32
1989-07-01	0.429	0	-9.10120135	0.37
1989-07-02	0.416	0	-3.79532102	0.65
1989-07-03	0.433	0	-1.16902085	0.71
1989-07-04	0.425	0	-2.58793	0.67
1989-07-05	0.432	0	-2.3628844	0.68
1989-07-06	0.422	0	-0.9419361	0.76
1989-07-07	0.421	0	-2.2765867	0.67
1989-07-08	0.48	0	0.32905185	0.86
1989-07-09	0.898	0	-1.73866145	0.69
1989-07-10	0.979	0	-4.4583354	0.53
1989-07-11	0.812	0	-3.025809275	0.65
1989-07-12	0.732	0	-1.26063015	0.73
1989-07-13	1.003	0	-0.66630445	0.75
1989-07-14	0.856	0	1.1936573	0.9
1989-07-15	0.679	0	2.48157375	1
1989-07-16	0.781	0	1.3232186	0.94
1989-07-17	0.701	0	-2.95935823	0.69
1989-07-18	0.678	0	-1.9715473	0.85
1989-07-19	0.934	6.69	-5.11256195	0.53
1989-07-20	1.005	0	-5.84770925	0.62
1989-07-21	0.73	0	-1.58274405	0.82
