"date"	"Qmm"	"P"	"T"	"E"
1989-04-01	0.132	0	13.3296001	2.9
1989-04-02	0.13	0	11.26169275	1.99
1989-04-03	0.126	0	11.61945765	2.86
1989-04-04	0.118	0	11.9934277	2.48
1989-04-05	0.116	0	13.44058875	2.95
1989-04-06	0.105	0	13.86487485	2.9
1989-04-07	0.109	0	14.04323155	3
1989-04-08	0.111	2.18	12.6302343	2.4
1989-04-09	0.123	0	10.8551067	1.87
1989-04-10	0.114	0	12.16673245	2.8
1989-04-11	0.11	0	12.4158592	2.46
1989-04-12	0.114	0	11.9596454	2.5
1989-04-13	0.116	0	13.012563	2.76
1989-04-14	0.11	0	13.27968535	2.66
1989-04-15	0.123	0	10.79303295	1.96
1989-04-16	0.121	0	11.55109125	2.34
1989-04-17	0.125	0	13.75533995	2.69
1989-04-18	0.123	0	14.43178345	2.57
1989-04-19	0.118	0	15.8858883	2.76
1989-04-20	0.119	0	13.4999003	2.25
1989-04-21	0.129	0	14.61810045	2.55
1989-04-22	0.128	0	13.22590405	2.34
1989-04-23	0.136	0	11.97726855	2.11
1989-04-24	0.152	0	10.65649375	1.95
1989-04-25	0.151	0	12.11839675	2.37
1989-04-26	0.148	0	15.0528602	2.65
1989-04-27	0.152	4.25	9.97811505	1.52
1989-04-28	0.156	7.05	6.75661875	1.25
1989-04-29	0.19	13.87	5.1563927	1.07
1989-04-30	0.262	0	6.46407895	1.58
1989-05-01	0.189	0	4.941014355	1.47
1989-05-02	0.18	13.25	6.5819454	1.26
1989-05-03	0.455	29.75	4.5133061	0.87
1989-05-04	0.986	0.03	3.79662716	1.18
1989-05-05	0.484	0	5.06783715	1.65
1989-05-06	0.351	0	8.5286219	1.9
1989-05-07	0.37	0	9.5659272	1.99
1989-05-08	0.388	0	8.47813665	1.75
1989-05-09	0.373	0	9.971556	1.77
1989-05-10	0.373	0	10.90558875	1.83
1989-05-11	0.373	0	9.6712618	1.48
1989-05-12	0.348	0	8.881036	1.24
1989-05-13	0.309	23.86	7.8097499	1.15
1989-05-14	0.333	10.39	4.5985322	0.98
1989-05-15	0.4	0	6.03592585	1.58
1989-05-16	0.321	0	10.8023073	1.88
1989-05-17	0.314	0	10.0330986	1.74
1989-05-18	0.299	0	11.6250304	1.9
1989-05-19	0.299	0	11.6305907	1.82
1989-05-20	0.289	0	11.039794	1.65
1989-05-21	0.269	0	10.91212025	1.52
1989-05-22	0.252	0	8.83977685	1.34
1989-05-23	0.243	0	9.64212595	1.64
1989-05-24	0.234	0	10.9616189	1.74
1989-05-25	0.201	0	11.14507865	1.73
1989-05-26	0.202	0	9.942125	1.49
1989-05-27	0.204	0	8.9652498	1.4
